player,draft_year,position,position_group,model_group,college,round,pick,outcome_grade_pff_powered,position_model_score,ceiling_grade,floor_grade,starter_probability,elite_probability,bust_probability,outcome_tier,outlier_type,grade_explanation,projected_value,actual_value,actual_position_percentile,predicted_position_percentile
Marqueston Huff,2014,DB,CB,DB,Wyoming,4.0,122.0,47.1,49.2,49.1,49.9,0.494,0.49,0.501,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,4.0,33.8,51.9
Walt Aikens,2014,DB,CB,DB,Liberty,4.0,125.0,45.4,46.8,47.4,49.8,0.495,0.491,0.502,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,6.0,41.9,51.8
Pierre Desir,2014,DB,CB,DB,Lindenwood,4.0,127.0,43.5,44.1,45.2,50.6,0.49,0.483,0.494,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,18.0,67.2,51.6
Tre Boston,2014,DB,CB,DB,North Carolina,4.0,128.0,49.3,52.3,51.4,50.1,0.495,0.487,0.499,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,28.0,78.3,52.0
Dontae Johnson,2014,DB,CB,DB,North Carolina St.,4.0,129.0,51.2,54.9,53.5,50.4,0.497,0.491,0.496,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.8,15.0,63.0,52.1
Brock Vereen,2014,DB,CB,DB,Minnesota,4.0,131.0,51.0,54.6,53.2,50.5,0.496,0.488,0.495,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.8,2.0,22.7,52.1
Nevin Lawson,2014,DB,CB,DB,Utah St.,4.0,133.0,37.1,35.4,38.5,49.4,0.483,0.476,0.506,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,22.0,72.7,51.1
Ricardo Allen,2014,DB,CB,DB,Purdue,5.0,147.0,31.0,26.8,32.1,49.2,0.481,0.48,0.508,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,25.0,75.5,50.7
Bene Benwikere,2014,DB,CB,DB,San Jose St.,5.0,148.0,37.8,36.2,39.2,49.4,0.488,0.482,0.506,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,10.0,53.3,51.2
Nat Berhe,2014,DB,CB,DB,San Diego St.,5.0,152.0,30.1,25.6,31.1,48.9,0.479,0.474,0.511,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.3,3.0,28.6,50.7
Ed Reynolds,2014,DB,CB,DB,Stanford,5.0,162.0,42.3,42.6,44.1,49.6,0.49,0.485,0.504,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.6,4.0,33.8,51.5
Vinnie Sunseri,2014,DB,CB,DB,Alabama,5.0,167.0,44.4,45.4,46.2,49.6,0.492,0.487,0.504,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.6,0.0,5.1,51.6
Keith Reaser,2014,DB,CB,DB,Florida Atlantic,5.0,170.0,35.5,33.0,36.7,49.3,0.487,0.479,0.507,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,2.0,22.7,51.0
Kenneth Acker,2014,DB,CB,DB,SMU,6.0,180.0,33.9,30.8,35.2,48.8,0.487,0.484,0.512,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,8.0,48.0,50.9
Antone Exum,2014,DB,CB,DB,Virginia Tech,6.0,182.0,26.2,20.0,26.9,48.9,0.482,0.475,0.511,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,6.0,41.9,50.4
Bennett Jackson,2014,DB,CB,DB,Notre Dame,6.0,187.0,29.9,25.2,30.8,49.1,0.485,0.476,0.509,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,0.0,5.1,50.7
E.J. Gaines,2014,DB,CB,DB,Missouri,6.0,188.0,30.1,25.5,31.1,48.8,0.484,0.48,0.512,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,13.0,59.5,50.7
Brandon Dixon,2014,DB,CB,DB,NW Missouri St.,6.0,195.0,20.9,12.6,21.1,48.5,0.478,0.466,0.515,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,3.0,28.6,50.1
Demetri Goodson,2014,DB,CB,DB,Baylor,6.0,197.0,22.5,14.8,22.9,48.5,0.48,0.472,0.515,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,2.0,22.7,50.2
Jemea Thomas,2014,DB,CB,DB,Georgia Tech,6.0,206.0,21.5,13.4,21.8,48.8,0.475,0.47,0.512,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,0.0,5.1,50.2
Eric Pinkins,2014,DB,CB,DB,San Diego St.,6.0,208.0,34.0,30.9,35.3,49.0,0.487,0.486,0.51,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,2.0,22.7,50.9
Andre Hal,2014,DB,CB,DB,Vanderbilt,7.0,216.0,19.6,10.8,19.9,48.0,0.476,0.471,0.52,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,17.0,65.7,50.0
T.J. Carrie,2014,DB,CB,DB,Ohio,7.0,219.0,20.9,12.6,21.2,48.2,0.48,0.47,0.518,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,22.0,72.7,50.1
Jabari Price,2014,DB,CB,DB,North Carolina,7.0,225.0,28.5,23.2,29.3,48.5,0.486,0.477,0.515,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,1.0,14.8,50.6
C.B. Bryant,2014,DB,CB,DB,Ohio St.,7.0,241.0,20.9,12.6,21.3,48.0,0.48,0.476,0.52,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,1.0,14.8,50.1
Jonathan Dowling,2014,DB,CB,DB,Western Kentucky,7.0,247.0,15.3,4.8,15.3,47.8,0.474,0.469,0.522,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.1,0.0,5.1,49.5
Ahmad Dixon,2014,DB,CB,DB,Baylor,7.0,248.0,13.5,2.5,13.5,47.8,0.468,0.458,0.522,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.0,0.0,5.1,49.2
Terrance Mitchell,2014,DB,CB,DB,Oregon,7.0,254.0,18.0,8.6,18.2,48.1,0.476,0.468,0.519,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,20.0,70.1,49.8
Lonnie Ballentine,2014,DB,CB,DB,Memphis,7.0,256.0,31.1,26.8,32.2,48.8,0.49,0.483,0.512,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,0.0,5.1,50.7
Trae Waynes,2015,CB,CB,DB,Michigan St.,1.0,11.0,80.9,95.5,84.6,54.9,0.541,0.519,0.451,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.9,18.0,67.2,55.5
Kevin Johnson,2015,CB,CB,DB,Wake Forest,1.0,16.0,78.7,92.5,82.3,54.8,0.536,0.519,0.452,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.8,11.0,55.5,55.2
Marcus Peters,2015,CB,CB,DB,Washington,1.0,18.0,79.0,92.9,82.7,54.4,0.537,0.522,0.456,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.8,63.0,96.6,55.2
Byron Jones,2015,CB,CB,DB,Connecticut,1.0,27.0,82.0,96.9,85.8,55.7,0.539,0.524,0.443,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.9,38.0,87.2,55.7
Damarious Randall,2015,S,S,DB,Arizona St.,1.0,30.0,74.7,87.1,78.3,53.3,0.528,0.52,0.467,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.6,21.0,71.4,54.7
Landon Collins,2015,S,S,DB,Alabama,2.0,33.0,76.6,89.7,80.2,53.4,0.531,0.516,0.466,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.6,42.0,89.5,54.9
Jalen Collins,2015,CB,CB,DB,LSU,2.0,42.0,74.8,87.2,78.3,53.5,0.531,0.518,0.465,Rotational / contributor profile,negative_outlier_missed_projection,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.6,4.0,33.8,54.7
Jaquiski Tartt,2015,S,S,DB,Samford,2.0,46.0,72.5,84.1,75.9,53.3,0.528,0.511,0.467,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.5,21.0,71.4,54.4
Eric Rowe,2015,CB,CB,DB,Utah,2.0,47.0,77.7,91.2,81.3,54.3,0.536,0.516,0.457,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.7,21.0,71.4,55.0
Ronald Darby,2015,CB,CB,DB,Florida St.,2.0,50.0,74.0,86.1,77.5,53.7,0.526,0.516,0.463,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile,9.6,34.0,84.3,54.6
Quinten Rollins,2015,CB,CB,DB,Miami (OH),2.0,62.0,63.9,72.4,66.8,51.8,0.511,0.501,0.482,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.1,7.0,45.0,53.2
Jordan Richards,2015,S,S,DB,Stanford,2.0,64.0,64.9,73.7,67.8,52.4,0.513,0.5,0.476,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.2,10.0,53.3,53.4
D'Joun Smith,2015,CB,CB,DB,Florida Atlantic,3.0,65.0,63.9,72.4,66.8,51.8,0.51,0.499,0.482,Rotational / contributor profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.1,0.0,5.1,53.2
P.J. Williams,2015,CB,CB,DB,Florida St.,3.0,78.0,61.1,68.6,63.7,52.4,0.508,0.491,0.476,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.0,19.0,68.7,52.9
Alex Carter,2015,CB,CB,DB,Stanford,3.0,80.0,64.6,73.3,67.5,52.0,0.515,0.502,0.48,Rotational / contributor profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.1,0.0,5.1,53.4
Craig Mager,2015,CB,CB,DB,Texas St.,3.0,83.0,60.5,67.8,63.2,51.8,0.506,0.495,0.482,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,9.0,4.0,33.8,52.8
Steven Nelson,2015,CB,CB,DB,Oregon St.,3.0,98.0,57.9,64.1,60.5,51.2,0.507,0.497,0.488,Depth / replacement-level profile,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included,8.9,36.0,85.9,52.6
James Sample,2015,S,S,DB,Louisville,4.0,104.0,53.1,57.6,55.4,50.8,0.499,0.486,0.492,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,1.0,14.8,52.2
Clayton Geathers,2015,S,S,DB,Central Florida,4.0,109.0,50.2,53.6,52.1,50.7,0.494,0.477,0.493,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.6,13.0,59.5,51.9
Ibraheim Campbell,2015,S,S,DB,Northwestern,4.0,115.0,51.0,54.7,53.2,50.7,0.495,0.487,0.493,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,6.0,41.9,52.0
Josh Shaw,2015,CB,CB,DB,USC,4.0,120.0,52.4,56.6,54.4,51.5,0.497,0.478,0.485,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,7.0,45.0,52.1
Doran Grant,2015,CB,CB,DB,Ohio St.,4.0,121.0,49.1,52.1,51.2,50.3,0.496,0.484,0.497,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,0.0,5.1,51.8
Tray Walker,2015,CB,CB,DB,Texas Southern,4.0,136.0,44.7,45.8,46.6,49.6,0.493,0.49,0.504,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,0.0,5.1,51.6
Adrian Amos,2015,S,S,DB,Penn St.,5.0,142.0,44.7,45.9,46.4,50.0,0.492,0.478,0.5,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,38.0,87.2,51.6
Mykkele Thompson,2015,S,S,DB,Texas,5.0,144.0,44.4,45.5,46.4,49.4,0.494,0.49,0.506,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,0.0,5.1,51.6
Bobby McCain,2015,CB,CB,DB,Memphis,5.0,145.0,43.9,44.8,45.6,50.2,0.491,0.481,0.498,Depth / replacement-level profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,28.0,78.3,51.5
Lorenzo Doss,2015,CB,CB,DB,Tulane,5.0,164.0,33.5,30.3,34.6,48.9,0.482,0.473,0.511,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.3,0.0,5.1,50.8
Damian Swann,2015,CB,CB,DB,Georgia,5.0,167.0,38.8,37.7,40.3,49.1,0.488,0.481,0.509,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.4,1.0,14.8,51.1
Tye Smith,2015,CB,CB,DB,Towson,5.0,170.0,40.1,39.5,41.6,49.7,0.491,0.48,0.503,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,3.0,28.6,51.2
Kyshoen Jarrett,2015,S,S,DB,Virginia Tech,6.0,181.0,27.4,21.9,27.9,48.7,0.477,0.46,0.513,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,3.0,28.6,50.3
Charles Gaines,2015,CB,CB,DB,Louisville,6.0,189.0,23.5,16.4,24.0,48.7,0.478,0.467,0.513,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,1.0,14.8,50.1
JaCorey Shepherd,2015,CB,CB,DB,Kansas,6.0,191.0,31.2,27.1,32.2,48.5,0.482,0.475,0.515,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,1.0,14.8,50.6
Randall Evans,2015,CB,CB,DB,Kansas St.,6.0,196.0,28.7,23.6,29.6,48.4,0.483,0.478,0.516,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.2,0.0,5.1,50.4
Derron Smith,2015,S,S,DB,Fresno St.,6.0,197.0,25.1,18.7,25.8,48.2,0.476,0.47,0.518,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.1,3.0,28.6,50.2
Quandre Diggs,2015,CB,CB,DB,Texas,6.0,200.0,22.1,14.5,22.5,48.4,0.474,0.464,0.516,Low-probability profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.1,43.0,90.0,50.0
Dexter McDonald,2015,CB,CB,DB,Kansas,7.0,242.0,19.7,11.0,20.0,47.6,0.478,0.47,0.524,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.0,2.0,22.7,49.7
Darryl Roberts,2015,CB,CB,DB,Marshall,7.0,247.0,14.8,4.4,14.9,47.3,0.474,0.462,0.527,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,7.9,13.0,59.5,49.0
Ryan Murphy,2015,DB,CB,DB,Oregon St.,7.0,248.0,24.8,18.1,25.5,48.1,0.483,0.476,0.519,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.1,0.0,5.1,50.1
Akeem King,2015,DB,CB,DB,San Jose St.,7.0,249.0,19.7,11.0,20.1,47.8,0.479,0.474,0.522,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.0,3.0,28.6,49.7
Taurean Nixon,2015,DB,CB,DB,Tulane,7.0,251.0,14.5,4.0,14.6,47.3,0.472,0.463,0.527,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,7.9,0.0,5.1,48.9
Jalen Ramsey,2016,CB,CB,DB,Florida St.,1.0,5.0,85.4,100.0,88.6,57.9,0.558,0.546,0.421,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,10.5,84.0,98.9,61.2
Eli Apple,2016,CB,CB,DB,Ohio St.,1.0,10.0,85.2,100.0,88.7,56.6,0.552,0.547,0.434,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,10.4,28.0,78.3,60.5
Vernon Hargreaves III,2016,CB,CB,DB,Florida,1.0,11.0,85.1,100.0,88.6,56.8,0.552,0.543,0.432,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,10.3,18.0,67.2,59.9
Karl Joseph,2016,S,S,DB,West Virginia,1.0,14.0,84.9,100.0,88.5,55.7,0.542,0.539,0.443,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,10.1,16.0,64.2,60.1
Keanu Neal,2016,S,S,DB,Florida,1.0,17.0,85.1,100.0,88.4,56.8,0.55,0.534,0.432,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,10.2,25.0,75.5,60.5
William Jackson III,2016,CB,CB,DB,Houston,1.0,24.0,84.3,99.8,88.0,54.9,0.53,0.526,0.451,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.7,19.0,68.7,58.6
Artie Burns,2016,CB,CB,DB,Miami (FL),1.0,25.0,84.8,100.0,88.4,55.0,0.539,0.536,0.45,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.9,17.0,65.7,60.0
Xavien Howard,2016,CB,CB,DB,Baylor,2.0,38.0,84.2,99.8,87.9,54.3,0.525,0.521,0.457,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.5,58.0,95.5,58.8
Mackensie Alexander,2016,CB,CB,DB,Clemson,2.0,54.0,83.9,99.7,87.8,54.2,0.524,0.519,0.458,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.5,12.0,57.6,57.4
T.J. Green,2016,S,S,DB,Clemson,2.0,57.0,84.4,99.8,88.1,55.6,0.539,0.528,0.444,Starter-caliber profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.9,6.0,41.9,58.0
Sean Davis,2016,CB,CB,DB,Maryland,2.0,58.0,84.7,99.9,88.0,55.3,0.538,0.522,0.447,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.8,18.0,67.2,59.8
Cyrus Jones,2016,CB,CB,DB,Alabama,2.0,60.0,83.7,99.5,87.5,54.5,0.519,0.514,0.455,Starter-caliber profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.4,4.0,33.8,56.8
Vonn Bell,2016,S,S,DB,Ohio St.,2.0,61.0,84.7,99.9,88.3,54.4,0.537,0.534,0.456,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.8,37.0,86.5,59.8
James Bradberry,2016,CB,CB,DB,Samford,2.0,62.0,84.4,99.8,87.9,54.6,0.532,0.522,0.454,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.7,46.0,91.4,59.2
Kevin Byard,2016,S,S,DB,Middle Tenn. St.,3.0,64.0,84.1,99.8,87.9,53.3,0.522,0.522,0.467,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.4,66.0,97.1,58.5
Will Redmond,2016,CB,CB,DB,Mississippi St.,3.0,68.0,82.4,98.1,86.3,53.8,0.513,0.509,0.462,Starter-caliber profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.2,3.0,28.6,55.8
Darian Thompson,2016,S,S,DB,Boise St.,3.0,71.0,83.5,99.5,87.1,53.6,0.511,0.498,0.464,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.1,12.0,57.6,57.0
KeiVarae Russell,2016,CB,CB,DB,Notre Dame,3.0,74.0,83.4,99.4,87.3,53.8,0.515,0.511,0.462,Starter-caliber profile,major_negative_miss,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.2,2.0,22.7,56.3
Daryl Worley,2016,CB,CB,DB,West Virginia,3.0,77.0,84.2,99.8,87.8,54.0,0.528,0.516,0.46,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.5,22.0,72.7,58.7
Kendall Fuller,2016,CB,CB,DB,Virginia Tech,3.0,84.0,84.1,99.8,87.9,53.2,0.525,0.523,0.468,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.4,34.0,84.3,58.1
Brandon Williams,2016,CB,CB,DB,Texas A&M,3.0,92.0,82.5,98.4,86.3,53.0,0.506,0.5,0.47,Starter-caliber profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.0,4.0,33.8,55.9
Justin Simmons,2016,S,S,DB,Boston Col.,3.0,98.0,84.0,99.7,87.5,54.5,0.526,0.511,0.455,Starter-caliber profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,9.4,60.0,95.9,57.7
Tavon Young,2016,CB,CB,DB,Temple,4.0,104.0,77.6,91.9,81.3,51.7,0.501,0.495,0.483,Starter-caliber profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.8,14.0,61.5,54.9
Eric Murray,2016,CB,CB,DB,Minnesota,4.0,106.0,82.3,98.2,86.1,52.2,0.509,0.5,0.478,Starter-caliber profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,8.9,25.0,75.5,55.9
Ryan Smith,2016,CB,CB,DB,North Carolina Central,4.0,108.0,81.5,97.2,85.2,51.8,0.503,0.494,0.482,Starter-caliber profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,8.8,8.0,48.0,55.7
Miles Killebrew,2016,S,S,DB,Southern Utah,4.0,111.0,79.2,94.1,82.7,52.9,0.503,0.484,0.471,Starter-caliber profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.9,18.0,67.2,55.2
Juston Burris,2016,CB,CB,DB,North Carolina St.,4.0,118.0,73.1,85.6,76.5,51.7,0.503,0.49,0.483,Rotational / contributor profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.7,14.0,61.5,54.4
Deon Bush,2016,S,S,DB,Miami (FL),4.0,124.0,71.4,83.2,74.6,51.4,0.498,0.489,0.486,Rotational / contributor profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.7,8.0,48.0,54.1
Deiondre' Hall,2016,CB,CB,DB,Northern Iowa,4.0,127.0,78.5,93.0,82.2,52.4,0.504,0.497,0.476,Starter-caliber profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.8,2.0,22.7,55.1
Derrick Kindred,2016,S,S,DB,TCU,4.0,129.0,82.3,98.2,86.1,52.2,0.508,0.498,0.478,Starter-caliber profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,8.8,8.0,48.0,55.9
Rashard Robinson,2016,CB,CB,DB,LSU,4.0,133.0,80.5,95.8,84.3,51.7,0.508,0.498,0.483,Starter-caliber profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile,8.8,9.0,51.0,55.4
Zack Sanchez,2016,CB,CB,DB,Oklahoma,5.0,141.0,72.2,84.4,75.5,52.5,0.495,0.487,0.475,Rotational / contributor profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.6,1.0,14.8,54.3
LeShaun Sims,2016,CB,CB,DB,Southern Utah,5.0,157.0,76.4,90.2,79.9,52.2,0.498,0.489,0.478,Starter-caliber profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.6,11.0,55.5,54.8
K.J. Dillon,2016,S,S,DB,West Virginia,5.0,159.0,74.9,88.1,78.3,52.6,0.495,0.487,0.474,Rotational / contributor profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.6,0.0,5.1,54.6
Marqui Christian,2016,S,S,DB,Midwestern St.,5.0,167.0,76.9,90.8,80.5,52.5,0.503,0.497,0.475,Starter-caliber profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; strong position profile,8.7,6.0,41.9,54.8
Trey Caldwell,2016,DB,CB,DB,La-Monroe,5.0,173.0,70.1,81.5,73.4,52.3,0.492,0.489,0.477,Rotational / contributor profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included,8.5,0.0,5.1,54.0
