player,draft_year,position,position_group,model_group,college,round,pick,projected_value,actual_value,actual_position_percentile,predicted_position_percentile,position_score,final_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,tier,outlier_type,model_explanation
Malaki Starks,2025,SAF,S,DB,Georgia,1.0,27.0,8.7,5.0,38.2,51.4,57.0,50.8,50.8,82.2,0.349,0.117,0.178,Depth / replacement-level profile,near_expected,top-50 draft capital; private PFF-derived signals included
Maxwell Hairston,2025,CB,CB,DB,Kentucky,1.0,30.0,3.8,2.0,22.7,34.3,8.0,9.7,9.7,41.9,0.145,0.072,0.581,Low-probability profile,near_expected,top-50 draft capital; low starter probability; private PFF-derived signals included; meaningful downside risk
Nick Emmanwori,2025,SAF,S,DB,South Carolina,2.0,35.0,8.8,4.0,33.8,51.1,55.7,50.0,50.0,83.3,0.352,0.142,0.167,Depth / replacement-level profile,near_expected,top-50 draft capital; private PFF-derived signals included
Will Johnson,2025,CB,CB,DB,Michigan,2.0,47.0,7.0,3.0,28.6,46.6,34.9,33.3,33.3,72.2,0.284,0.092,0.278,Low-probability profile,near_expected,top-50 draft capital; low starter probability; private PFF-derived signals included
Benjamin Morrison,2025,CB,CB,DB,Notre Dame,2.0,53.0,4.0,2.0,22.7,34.9,8.1,9.8,9.8,44.8,0.132,0.075,0.552,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included; meaningful downside risk
Trey Amos,2025,CB,CB,DB,Mississippi,2.0,61.0,4.0,2.0,22.7,34.9,8.1,9.9,9.9,49.4,0.128,0.055,0.506,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Andrew Mukuba,2025,SAF,S,DB,Texas,2.0,64.0,6.9,3.0,28.6,46.6,34.9,33.4,33.4,71.6,0.292,0.09,0.284,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Darien Porter,2025,CB,CB,DB,Iowa St.,3.0,68.0,6.3,4.0,33.8,44.4,17.9,20.5,20.5,66.0,0.254,0.093,0.34,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Azareye'h Thomas,2025,CB,CB,DB,Florida St.,3.0,73.0,2.9,2.0,22.7,29.2,6.5,6.4,6.4,29.9,0.082,0.035,0.701,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Shavon Revel,2025,CB,CB,DB,East Carolina,3.0,76.0,3.5,1.0,14.8,32.9,7.2,8.7,8.7,41.4,0.131,0.07,0.586,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included; meaningful downside risk
Kevin Winston,2025,SAF,S,DB,Penn St.,3.0,82.0,3.8,2.0,22.7,33.6,7.6,9.0,9.0,36.9,0.139,0.084,0.631,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jacob Parrish,2025,CB,CB,DB,Kansas St.,3.0,84.0,5.7,3.0,28.6,41.0,9.9,13.6,13.6,67.9,0.182,0.068,0.321,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Nohl Williams,2025,CB,CB,DB,California,3.0,85.0,4.1,3.0,28.6,35.1,8.2,9.9,9.9,48.2,0.135,0.035,0.518,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Jonas Sanker,2025,SAF,S,DB,Virginia,3.0,93.0,8.3,7.0,45.0,49.0,47.2,43.0,43.0,81.8,0.303,0.103,0.182,Depth / replacement-level profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Xavier Watts,2025,SAF,S,DB,Notre Dame,3.0,96.0,8.5,7.0,45.0,49.5,49.6,45.0,45.0,82.9,0.324,0.094,0.171,Depth / replacement-level profile,near_expected,Day 2 draft capital; private PFF-derived signals included
Jaylin Smith,2025,CB,CB,DB,USC,3.0,97.0,1.5,0.0,5.1,19.7,3.7,1.9,3.4,14.1,0.051,0.024,0.859,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Upton Stout,2025,CB,CB,DB,Western Kentucky,3.0,100.0,4.8,2.0,22.7,37.9,8.9,11.8,11.8,61.8,0.15,0.052,0.382,Low-probability profile,near_expected,Day 2 draft capital; low starter probability; private PFF-derived signals included
Craig Woodson,2025,SAF,S,DB,California,4.0,106.0,7.8,6.0,41.9,48.2,43.9,40.4,40.4,80.8,0.296,0.092,0.192,Depth / replacement-level profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Billy Bowman,2025,SAF,S,DB,Oklahoma,4.0,118.0,3.3,1.0,14.8,31.3,7.0,7.9,7.9,37.1,0.111,0.066,0.629,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Lathan Ransom,2025,SAF,S,DB,Ohio St.,4.0,122.0,3.6,3.0,28.6,33.4,7.6,8.6,8.6,40.0,0.117,0.025,0.6,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included; meaningful downside risk
Malachi Moore,2025,SAF,S,DB,Alabama,4.0,130.0,6.8,4.0,33.8,45.8,28.9,28.7,28.7,74.2,0.251,0.078,0.258,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Quincy Riley,2025,CB,CB,DB,Louisville,4.0,131.0,4.0,3.0,28.6,34.9,8.1,9.5,9.5,48.5,0.096,0.039,0.515,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Mac McWilliams,2025,CB,CB,DB,Central Florida,5.0,145.0,1.2,0.0,5.1,17.2,2.6,0.1,2.2,8.6,0.027,0.01,0.914,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jason Marshall,2025,CB,CB,DB,Florida,5.0,150.0,2.3,1.0,14.8,26.1,5.5,4.4,4.9,17.9,0.056,0.031,0.821,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Dante Trader,2025,SAF,S,DB,Maryland,5.0,155.0,3.0,2.0,22.7,30.0,6.6,6.4,6.4,25.8,0.077,0.037,0.742,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Marques Sigle,2025,SAF,S,DB,Kansas St.,5.0,160.0,3.4,3.0,28.6,32.2,7.2,7.8,7.8,38.2,0.093,0.027,0.618,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jordan Hancock,2025,SAF,S,DB,Ohio St.,5.0,170.0,2.3,1.0,14.8,24.8,5.2,3.7,4.3,16.6,0.045,0.015,0.834,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Denzel Burke,2025,CB,CB,DB,Ohio St.,5.0,174.0,4.3,3.0,28.6,36.3,8.5,10.4,10.4,51.7,0.115,0.045,0.483,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; private PFF-derived signals included
Dorian Strong,2025,CB,CB,DB,Virginia Tech,6.0,177.0,1.6,1.0,14.8,20.5,4.0,1.9,3.2,12.8,0.031,0.01,0.872,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Marcus Harris,2025,DB,CB,DB,California,6.0,183.0,1.7,2.0,22.7,21.7,4.1,2.6,3.9,15.3,0.059,0.032,0.847,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jaylen Reed,2025,SAF,S,DB,Penn St.,6.0,187.0,1.9,1.0,14.8,23.2,4.5,3.0,3.9,15.5,0.046,0.021,0.845,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Rayuan Lane,2025,FS,S,DB,Navy,6.0,200.0,2.2,1.0,14.8,25.1,5.2,4.1,4.7,16.3,0.07,0.031,0.837,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
R.J. Mickens,2025,SAF,S,DB,Clemson,6.0,214.0,2.7,3.0,28.6,28.8,6.3,5.8,5.8,26.6,0.065,0.023,0.734,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Kitan Crawford,2025,SAF,S,DB,Nevada,7.0,225.0,2.1,1.0,14.8,23.7,4.7,3.0,3.8,14.2,0.042,0.011,0.858,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Micah Robinson,2025,CB,CB,DB,Tulane,7.0,237.0,1.7,1.0,14.8,21.9,4.3,2.5,3.4,13.2,0.047,0.008,0.868,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Korie Black,2025,CB,CB,DB,Oklahoma St.,7.0,246.0,1.9,1.0,14.8,22.7,4.5,2.7,3.6,13.4,0.041,0.011,0.866,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Trikweze Bridges,2025,SAF,S,DB,Florida,7.0,256.0,2.4,1.0,14.8,27.6,5.9,4.9,4.9,20.4,0.058,0.015,0.796,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Kobee Minor,2025,DB,CB,DB,Memphis,7.0,257.0,1.0,0.0,5.1,16.0,2.3,0.0,1.9,8.1,0.028,0.005,0.919,Low-probability profile,near_expected,lower draft-capital profile; low starter probability; elevated bust risk; private PFF-derived signals included; meaningful downside risk
Jim Jeffcoat,1983,DE,EDGE,EDGE,Arizona St.,1.0,23.0,10.8,57.0,91.3,54.5,85.9,75.0,78.4,62.0,0.584,0.557,0.38,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile
Leonard Marshall,1983,DE,EDGE,EDGE,LSU,2.0,37.0,10.4,70.0,95.9,53.7,82.8,72.6,76.1,61.2,0.574,0.558,0.388,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Reggie Camp,1983,DE,EDGE,EDGE,California,3.0,68.0,8.8,30.0,73.1,49.9,65.6,58.9,62.1,55.0,0.518,0.514,0.45,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Charles Benson,1983,DE,EDGE,EDGE,Baylor,3.0,76.0,9.2,4.0,33.3,51.0,68.8,61.6,65.0,55.8,0.534,0.535,0.442,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Bryan Caldwell,1983,DE,EDGE,EDGE,Arizona St.,3.0,77.0,8.2,0.0,5.7,48.1,59.4,53.9,57.1,51.9,0.502,0.501,0.481,Depth / replacement-level profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Charles Mann,1983,DE,EDGE,EDGE,Nevada,3.0,84.0,8.7,79.0,97.1,49.5,64.1,57.6,60.3,54.5,0.517,0.487,0.455,Depth / replacement-level profile,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Greg Townsend,1983,DE,EDGE,EDGE,TCU,4.0,110.0,8.7,63.0,93.4,49.7,64.1,57.7,61.0,53.2,0.514,0.518,0.468,Depth / replacement-level profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Doug Reed,1983,DE,EDGE,EDGE,San Diego St.,4.0,111.0,8.0,34.0,76.7,48.0,59.4,53.8,57.2,50.3,0.494,0.505,0.497,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Smiley Creswell,1983,DE,EDGE,EDGE,Michigan St.,5.0,118.0,7.1,0.0,5.7,45.3,37.5,37.2,39.6,47.1,0.452,0.458,0.529,Low-probability profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Byron Darby,1983,DE,EDGE,EDGE,USC,5.0,120.0,7.1,12.0,52.7,45.0,37.5,37.1,39.5,47.4,0.445,0.457,0.526,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Jerome Foster,1983,DE,EDGE,EDGE,Ohio St.,5.0,139.0,7.4,3.0,29.7,46.3,42.2,40.9,43.4,48.7,0.465,0.471,0.513,Depth / replacement-level profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Richard Dent,1983,DE,EDGE,EDGE,Tennessee St.,8.0,203.0,6.2,98.0,98.7,42.3,17.2,21.8,23.0,43.0,0.425,0.403,0.57,Low-probability profile,major_positive_outlier,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Hasson Arbubakrr,1983,DE,EDGE,EDGE,Texas Tech,9.0,238.0,5.9,2.0,24.9,41.6,9.4,16.2,17.2,42.1,0.429,0.405,0.579,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Walt Bowyer,1983,DE,EDGE,EDGE,Arizona St.,10.0,254.0,5.8,13.0,54.4,41.3,1.6,10.7,11.4,42.0,0.427,0.406,0.58,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Thomas Strauthers,1983,DE,EDGE,EDGE,Jackson St.,10.0,258.0,5.8,10.0,49.3,41.1,0.0,9.5,10.1,41.8,0.423,0.403,0.582,Low-probability profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Richard Tharpe,1983,DE,EDGE,EDGE,Louisville,10.0,260.0,6.3,1.0,16.8,42.8,21.9,25.6,27.2,43.8,0.449,0.432,0.562,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Rick Bryan,1984,DE,EDGE,EDGE,Oklahoma,1.0,9.0,12.3,37.0,79.0,58.0,95.0,82.3,85.5,63.2,0.607,0.572,0.368,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Alphonso Carreker,1984,DE,EDGE,EDGE,Florida St.,1.0,12.0,12.2,36.0,78.2,57.5,92.5,80.4,83.5,63.9,0.599,0.564,0.361,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Ron Faurot,1984,DE,EDGE,EDGE,Arkansas,1.0,15.0,12.3,6.0,40.5,57.2,91.2,79.4,82.5,64.1,0.6,0.564,0.359,Starter-caliber profile,negative_outlier_missed_projection,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile
Blaise Winter,1984,DE,EDGE,EDGE,Syracuse,2.0,35.0,11.3,32.0,75.0,55.4,81.2,71.8,75.0,60.6,0.581,0.562,0.394,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Jumpy Geathers,1984,DE,EDGE,EDGE,Wichita St.,2.0,42.0,10.2,26.0,69.5,53.5,73.8,65.7,68.5,59.0,0.546,0.524,0.41,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Andre Townsend,1984,DE,EDGE,EDGE,Mississippi,2.0,46.0,11.5,28.0,71.3,55.8,83.8,73.8,77.1,60.6,0.589,0.569,0.394,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Sean Jones,1984,DE,EDGE,EDGE,Northeastern,2.0,51.0,11.4,68.0,95.2,55.7,83.8,73.6,76.7,62.3,0.574,0.553,0.377,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Steve Hamilton,1984,DE,EDGE,EDGE,East Carolina,2.0,55.0,10.4,5.0,37.0,53.3,73.8,65.8,68.6,58.1,0.555,0.531,0.419,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Eric Williams,1984,DE,EDGE,EDGE,Washington St.,3.0,62.0,9.7,42.0,83.3,51.7,68.8,61.6,64.5,55.2,0.531,0.517,0.448,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Chris Scott,1984,DE,EDGE,EDGE,Purdue,3.0,66.0,9.8,8.0,45.4,52.1,70.0,62.5,65.6,55.0,0.534,0.524,0.45,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Sean McNanie,1984,DE,EDGE,EDGE,San Diego St.,3.0,79.0,9.6,15.0,57.4,51.5,67.5,60.6,63.6,53.7,0.535,0.518,0.463,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Mark Studaway,1984,DE,EDGE,EDGE,Tennessee,4.0,85.0,9.0,1.0,16.8,50.3,61.3,55.6,58.5,52.6,0.502,0.499,0.474,Depth / replacement-level profile,negative_outlier_missed_projection,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Hal Stephens,1984,DE,EDGE,EDGE,East Carolina,5.0,133.0,7.1,0.0,5.7,45.4,30.0,31.5,33.1,45.1,0.435,0.424,0.549,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Van Hughes,1984,DE,EDGE,EDGE,Texas St.,5.0,135.0,8.1,0.0,5.7,48.4,47.5,45.0,47.3,48.8,0.469,0.468,0.512,Depth / replacement-level profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Ray Woodard,1984,DE,EDGE,EDGE,Texas,8.0,199.0,7.1,1.0,16.8,46.0,32.5,33.3,35.0,45.3,0.43,0.427,0.547,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Mike Johnson,1984,DE,EDGE,EDGE,Illinois,9.0,228.0,6.5,1.0,16.8,44.2,16.2,21.3,22.5,41.8,0.417,0.412,0.582,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Bruce Smith,1985,DE,EDGE,EDGE,Virginia Tech,1.0,1.0,12.7,152.0,100.0,59.4,95.8,83.2,85.8,66.0,0.614,0.559,0.34,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Chris Doleman,1985,DE,EDGE,EDGE,Pittsburgh,1.0,4.0,11.5,114.0,99.5,56.8,82.3,72.9,75.8,61.9,0.587,0.561,0.381,Rotational / contributor profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included
Ron Holmes,1985,DE,EDGE,EDGE,Washington,1.0,8.0,12.6,31.0,74.2,59.1,94.8,82.4,85.1,64.8,0.616,0.558,0.352,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Freddie Joe Nunn,1985,DE,EDGE,EDGE,Mississippi,1.0,18.0,11.3,49.0,87.3,55.7,77.1,68.9,71.2,62.0,0.581,0.535,0.38,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Darryl Sims,1985,DE,EDGE,EDGE,Wisconsin,1.0,20.0,11.5,9.0,47.5,56.4,79.2,70.7,73.5,61.2,0.591,0.565,0.388,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Richard Byrd,1985,DE,EDGE,EDGE,Southern Miss,2.0,36.0,10.3,20.0,63.5,53.3,69.8,63.0,65.5,58.6,0.556,0.526,0.414,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Mike Gann,1985,DE,EDGE,EDGE,Notre Dame,2.0,45.0,11.6,42.0,83.3,56.2,79.2,70.6,73.2,62.2,0.586,0.554,0.378,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Garin Veris,1985,DE,EDGE,EDGE,Stanford,2.0,48.0,10.5,26.0,69.5,54.0,69.8,63.1,65.3,59.2,0.561,0.516,0.408,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Ben Thomas,1985,DE,EDGE,EDGE,Auburn,2.0,56.0,9.6,8.0,45.4,52.2,64.6,58.8,61.3,56.0,0.534,0.515,0.44,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
George Little,1985,DE,EDGE,EDGE,Iowa,3.0,65.0,9.7,8.0,45.4,52.7,68.8,61.8,64.5,56.4,0.534,0.515,0.436,Rotational / contributor profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Mike Hamby,1985,DE,EDGE,EDGE,Utah St.,6.0,141.0,7.1,2.0,24.9,45.2,34.4,34.6,36.4,45.4,0.431,0.424,0.546,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Kurt Ploeger,1985,DE,EDGE,EDGE,Gustavus Adolphus,6.0,144.0,7.3,0.0,5.7,45.5,36.5,36.2,38.3,45.4,0.437,0.436,0.546,Low-probability profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Charles Bennett,1985,DE,EDGE,EDGE,Louisiana,7.0,190.0,6.7,1.0,16.8,43.8,25.0,27.4,29.2,42.3,0.416,0.418,0.577,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Milford Hodge,1985,DE,EDGE,EDGE,Washington St.,8.0,224.0,6.6,8.0,45.4,44.2,28.1,29.8,31.9,41.9,0.419,0.434,0.581,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Bob Otto,1985,DE,EDGE,EDGE,Idaho St.,9.0,248.0,6.4,0.0,5.7,43.0,17.7,22.1,23.6,42.1,0.407,0.412,0.579,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Tony Simmons,1985,DE,EDGE,EDGE,Tennessee,12.0,318.0,6.1,3.0,29.7,41.8,10.4,16.4,17.6,41.6,0.379,0.391,0.584,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Jon Hand,1986,DE,EDGE,EDGE,Alabama,1.0,4.0,14.3,44.0,84.5,61.2,93.8,82.5,85.3,68.7,0.621,0.599,0.313,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Leslie O'Neal,1986,DE,EDGE,EDGE,Oklahoma St.,1.0,8.0,14.6,89.0,98.1,61.4,95.5,83.8,86.6,68.6,0.629,0.6,0.314,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; top-tier position profile
Gerald Robinson,1986,DE,EDGE,EDGE,Auburn,1.0,14.0,13.1,15.0,57.4,58.9,84.8,75.4,78.0,65.0,0.61,0.577,0.35,Starter-caliber profile,near_expected,premium draft capital; meaningful elite ceiling; private PFF-derived signals included
Eric Dorsey,1986,DE,EDGE,EDGE,Notre Dame,1.0,19.0,14.0,27.0,70.5,60.3,92.0,81.0,83.9,67.8,0.617,0.596,0.322,Starter-caliber profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; high-end model grade; strong position profile
Bob Buczkowski,1986,DE,EDGE,EDGE,Pittsburgh,1.0,24.0,13.8,3.0,29.7,59.8,88.4,78.3,80.8,67.3,0.616,0.582,0.327,Starter-caliber profile,negative_outlier_missed_projection,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included; strong position profile
Markus Koch,1986,DE,EDGE,EDGE,Boise St.,2.0,30.0,11.1,19.0,62.6,54.5,67.0,61.4,63.5,61.1,0.563,0.528,0.389,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Larry Roberts,1986,DE,EDGE,EDGE,Alabama,2.0,39.0,11.2,22.0,66.1,54.7,67.0,61.5,63.5,60.8,0.566,0.529,0.392,Rotational / contributor profile,near_expected,top-50 draft capital; meaningful elite ceiling; private PFF-derived signals included
Jim Skow,1986,DE,EDGE,EDGE,Nebraska,3.0,58.0,9.6,22.0,66.1,51.2,55.4,52.0,54.1,54.2,0.533,0.5,0.458,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Leonard Griffin,1986,DE,EDGE,EDGE,Grambling St.,3.0,63.0,8.9,21.0,64.7,49.0,50.0,47.4,49.2,52.6,0.507,0.469,0.474,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Mike Hammerstein,1986,DE,EDGE,EDGE,Michigan,3.0,65.0,9.2,6.0,40.5,49.8,52.7,49.4,51.5,54.4,0.496,0.478,0.456,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
John Washington,1986,DE,EDGE,EDGE,Oklahoma St.,3.0,73.0,9.0,30.0,73.1,49.5,52.7,49.3,51.5,54.0,0.488,0.477,0.46,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
T.J. Turner,1986,DE,EDGE,EDGE,Houston,3.0,81.0,8.8,32.0,75.0,49.0,50.0,47.2,49.2,53.3,0.487,0.467,0.467,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Mike Wise,1986,DE,EDGE,EDGE,UC Davis,4.0,85.0,9.2,16.0,58.9,50.7,54.5,50.8,53.0,54.3,0.488,0.485,0.457,Depth / replacement-level profile,near_expected,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Charles Haley,1986,DE,EDGE,EDGE,James Madison,4.0,96.0,8.7,81.0,97.5,49.6,52.7,49.1,51.4,50.7,0.492,0.475,0.493,Depth / replacement-level profile,major_positive_outlier,Day 2 draft capital; meaningful elite ceiling; private PFF-derived signals included
Kevin Fagan,1986,DE,EDGE,EDGE,Miami (FL),4.0,102.0,8.3,36.0,78.2,48.5,45.5,43.7,46.1,49.5,0.475,0.477,0.505,Depth / replacement-level profile,positive_outlier_exceeded_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Jeff Tupper,1986,DE,EDGE,EDGE,Oklahoma,5.0,116.0,7.2,2.0,24.9,44.9,37.5,36.6,38.9,45.4,0.418,0.43,0.546,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Matt Koart,1986,DE,EDGE,EDGE,USC,5.0,125.0,7.5,1.0,16.8,45.9,39.3,38.3,40.4,45.7,0.444,0.438,0.543,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included
Dan McMillen,1986,DE,EDGE,EDGE,Colorado,5.0,128.0,7.3,0.0,5.7,45.6,39.3,38.1,40.1,44.8,0.442,0.426,0.552,Low-probability profile,negative_outlier_missed_projection,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
Mark Pike,1986,DE,EDGE,EDGE,Georgia Tech,7.0,178.0,6.5,10.0,49.3,43.1,24.1,26.2,27.6,41.1,0.392,0.383,0.589,Low-probability profile,near_expected,lower draft-capital profile; meaningful elite ceiling; private PFF-derived signals included; meaningful downside risk
