player,draft_year,position,position_group,model_group,college,projected_pick,projected_round,projection_rank_source,overall_rank_2026,position_rank_2026,projection_score,ceiling_score,floor_score,starter_probability,elite_probability,bust_probability,projected_value,predicted_position_percentile,position_score,projection_tier,projection_explanation
Caleb Downs,2026.0,S,S,DB,Ohio St.,11.0,1.0,,1,1,84.2,87.8,69.1,0.673,0.694,0.309,15.503,65.162,93.9,Starter-caliber projection,premium projected draft slot; meaningful elite ceiling; PFF-powered model projection
Gracen Halton,2026.0,DT,IDL,IDL,Oklahoma,107.0,4.0,,113,10,53.6,55.6,54.1,0.525,0.491,0.459,8.854,51.84,57.7,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Mike Washington Jr.,2026.0,RB,RB,RB,Arkansas,122.0,4.0,,113,4,53.6,55.6,54.5,0.508,0.477,0.455,6.292,51.098,58.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Romello Height,2026.0,DE,EDGE,EDGE,Texas Tech,70.0,3.0,,116,13,53.4,55.4,55.1,0.557,0.519,0.449,10.15,52.757,56.5,Depth / developmental projection,Day 2 projected draft slot; meaningful elite ceiling; PFF-powered model projection
Darrell Jackson Jr.,2026.0,DT,IDL,IDL,Florida St.,103.0,4.0,,116,11,53.4,55.4,53.9,0.52,0.491,0.461,8.913,51.693,57.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Dani Dennis-Sutton,2026.0,DE,EDGE,EDGE,Penn St.,120.0,4.0,,118,14,53.0,55.7,52.1,0.541,0.542,0.479,10.024,52.64,56.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Drew Shelton,2026.0,OT,OT,OT,Penn St.,112.0,4.0,,119,14,52.7,54.8,52.3,0.515,0.49,0.477,12.423,51.721,56.7,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jonah Coleman,2026.0,RB,RB,RB,Washington,108.0,4.0,,119,5,52.7,54.8,53.0,0.505,0.477,0.47,6.176,50.71,57.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kaleb Proctor,2026.0,DT,IDL,IDL,Southeastern Louisiana,104.0,4.0,,121,12,52.5,54.9,52.2,0.521,0.505,0.478,8.602,51.396,56.4,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jimmy Rolder,2026.0,LB,LB,LB,Michigan,118.0,4.0,,122,10,52.3,54.8,50.8,0.508,0.495,0.492,8.97,51.0,56.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Travis Burke,2026.0,OT,OT,OT,Memphis,117.0,4.0,,123,15,51.9,53.7,53.4,0.508,0.475,0.466,12.321,51.585,55.8,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Devin Moore,2026.0,CB,CB,DB,Florida,114.0,4.0,,124,13,51.5,54.4,52.6,0.507,0.521,0.474,8.394,50.632,55.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Wade Woodaz,2026.0,LB,LB,LB,Clemson,123.0,4.0,,125,11,50.9,53.4,50.4,0.504,0.497,0.496,8.673,50.584,54.6,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Connor Lew,2026.0,C,IOL,IOL,Auburn,128.0,4.0,,125,9,50.9,53.8,51.8,0.492,0.512,0.482,13.553,50.586,54.7,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kage Casey,2026.0,OT,OT,OT,Boise St.,111.0,4.0,,127,16,50.6,52.7,51.3,0.507,0.483,0.487,12.027,50.994,54.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Malik Muhammad,2026.0,CB,CB,DB,Texas,124.0,4.0,,128,14,50.5,52.7,52.4,0.5,0.485,0.476,8.238,50.387,54.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Tanner Koziol,2026.0,TE,TE,TE,Houston,164.0,5.0,,129,11,50.1,51.7,50.5,0.493,0.441,0.495,3.733,49.741,54.3,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Wesley Williams,2026.0,DE,EDGE,EDGE,Duke,119.0,4.0,,130,15,49.9,52.6,51.8,0.525,0.534,0.482,9.551,51.688,52.4,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kaleb Elarms-Orr,2026.0,LB,LB,LB,TCU,126.0,4.0,,131,12,49.5,51.7,50.9,0.495,0.478,0.491,8.697,50.257,53.0,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kyle Louis,2026.0,LB,LB,LB,Pittsburgh,138.0,4.0,,132,13,49.3,51.1,50.6,0.497,0.459,0.494,8.709,50.193,52.8,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
LT Overton,2026.0,DE,EDGE,EDGE,Alabama,137.0,4.0,,133,16,49.0,51.6,51.7,0.519,0.528,0.483,9.439,51.401,51.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Trey Moore,2026.0,LB,LB,LB,Texas,130.0,4.0,,134,14,48.3,50.5,50.4,0.494,0.481,0.496,8.615,49.921,51.3,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Elijah Sarratt,2026.0,WR,WR,WR,Indiana,115.0,4.0,,134,18,48.3,50.7,50.3,0.499,0.492,0.497,6.25,50.273,51.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kendal Daniels,2026.0,LB,LB,LB,Oklahoma,134.0,4.0,,136,15,48.2,50.5,50.0,0.503,0.488,0.5,8.572,49.801,51.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jalon Kilgore,2026.0,CB,CB,DB,South Carolina,167.0,5.0,,137,15,48.0,50.4,49.9,0.486,0.482,0.501,7.79,49.783,51.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Josh Cuevas,2026.0,TE,TE,TE,Alabama,173.0,5.0,,138,12,47.4,49.4,48.5,0.481,0.451,0.515,3.525,48.899,50.8,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Riley Nowakowski,2026.0,TE,TE,TE,Indiana,169.0,5.0,,139,13,46.3,48.3,48.5,0.474,0.446,0.515,3.408,48.414,49.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Brenen Thompson,2026.0,WR,WR,WR,Mississippi St.,105.0,4.0,,139,19,46.3,48.1,50.3,0.503,0.469,0.497,6.092,49.585,48.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Skyler Bell,2026.0,WR,WR,WR,Connecticut,125.0,4.0,,141,20,45.9,47.7,50.7,0.494,0.461,0.493,6.044,49.446,48.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kamari Ramsey,2026.0,S,S,DB,USC,141.0,5.0,,142,9,45.7,48.4,49.2,0.486,0.498,0.508,7.538,49.164,47.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Will Lee III,2026.0,CB,CB,DB,Texas A&M,129.0,4.0,,143,16,45.6,47.3,52.7,0.479,0.455,0.473,7.674,49.161,47.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Zane Durant,2026.0,DT,IDL,IDL,Penn St.,181.0,5.0,,144,13,45.4,46.9,51.0,0.498,0.454,0.49,8.009,49.514,47.4,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Cade Klubnik,2026.0,QB,QB,QB,Clemson,110.0,4.0,,145,5,45.3,47.3,50.2,0.481,0.47,0.498,7.471,49.411,47.4,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Emmett Johnson,2026.0,RB,RB,RB,Nebraska,161.0,5.0,,145,6,45.3,46.8,50.2,0.472,0.428,0.498,5.434,48.35,48.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jadon Canady,2026.0,CB,CB,DB,Oregon,109.0,4.0,,147,17,45.2,47.4,50.7,0.482,0.475,0.493,7.622,49.039,47.3,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keionte Scott,2026.0,CB,CB,DB,Miami (FL),116.0,4.0,,148,18,45.1,47.1,50.8,0.479,0.467,0.492,7.644,48.989,47.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Ryan Eckley,2026.0,P,ST,ST,Michigan St.,211.0,6.0,,149,1,44.8,47.3,50.5,0.53,0.544,0.495,7.553,51.849,44.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Tommy Doman,2026.0,P,ST,ST,Florida,239.0,7.0,,150,2,44.7,46.9,50.8,0.532,0.529,0.492,7.549,51.863,44.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Bauer Sharp,2026.0,TE,TE,TE,LSU,185.0,6.0,,151,14,44.6,46.3,48.5,0.469,0.436,0.515,3.381,48.14,47.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Nick Barrett,2026.0,DT,IDL,IDL,South Carolina,145.0,5.0,,152,14,44.5,46.0,49.9,0.507,0.459,0.501,8.06,49.366,46.0,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Bryce Lance,2026.0,WR,WR,WR,North Dakota St.,136.0,4.0,,153,21,44.4,46.5,48.5,0.478,0.461,0.515,5.751,48.711,46.6,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
DeMonte Capehart,2026.0,DT,IDL,IDL,Clemson,155.0,5.0,,154,15,44.3,45.2,52.2,0.491,0.428,0.478,8.262,49.313,46.0,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kaden Wetjen,2026.0,WR,WR,WR,Iowa,121.0,4.0,,155,22,44.1,46.2,48.3,0.481,0.464,0.517,5.664,48.546,46.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Adam Randall,2026.0,RB,RB,RB,Clemson,174.0,5.0,,155,7,44.1,45.6,50.7,0.464,0.428,0.493,5.372,48.007,46.6,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Colbie Young,2026.0,WR,WR,WR,Georgia,140.0,4.0,,155,22,44.1,46.1,48.1,0.479,0.462,0.519,5.667,48.53,46.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jaden Dugger,2026.0,OLB,LB,LB,Louisiana,154.0,5.0,,158,16,43.6,45.8,47.5,0.474,0.462,0.525,7.877,48.018,45.7,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Ephesians Prysock,2026.0,CB,CB,DB,Washington,139.0,4.0,,158,19,43.6,45.8,50.4,0.472,0.473,0.496,7.426,48.53,45.3,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Nicholas Singleton,2026.0,RB,RB,RB,Penn St.,165.0,5.0,,160,8,42.6,44.3,48.8,0.468,0.435,0.512,5.296,47.514,44.6,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Billy Schrauth,2026.0,G,IOL,IOL,Notre Dame,160.0,5.0,,161,10,42.5,45.0,49.3,0.479,0.496,0.507,12.533,48.97,43.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Justin Joly,2026.0,TE,TE,TE,North Carolina St.,152.0,5.0,,161,15,42.5,44.3,46.1,0.473,0.437,0.539,3.401,47.699,44.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Bryce Boettcher,2026.0,LB,LB,LB,Oregon,135.0,4.0,,163,17,42.4,44.3,48.1,0.474,0.448,0.519,7.806,47.686,44.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keyshaun Elliott,2026.0,LB,LB,LB,Arizona St.,166.0,5.0,,164,18,42.2,43.9,47.4,0.468,0.433,0.526,7.82,47.65,44.1,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Keith Abney II,2026.0,CB,CB,DB,Arizona St.,157.0,5.0,,165,20,42.1,44.8,47.8,0.473,0.496,0.522,7.265,48.134,43.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Joe Royer,2026.0,TE,TE,TE,Cincinnati,170.0,5.0,,166,16,41.5,42.9,46.9,0.465,0.42,0.531,3.295,47.552,43.2,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Reggie Virgil,2026.0,WR,WR,WR,Texas Tech,143.0,5.0,,166,24,41.5,43.4,46.3,0.47,0.446,0.537,5.319,47.455,43.0,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Taylen Green,2026.0,QB,QB,QB,Arkansas,182.0,6.0,,168,6,41.1,42.3,48.7,0.459,0.419,0.513,7.046,48.226,42.5,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jager Burton,2026.0,C,IOL,IOL,Kentucky,153.0,5.0,,169,11,40.6,42.8,49.4,0.48,0.487,0.506,12.424,48.799,40.8,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Lorenzo Styles Jr.,2026.0,S,S,DB,Ohio St.,172.0,5.0,,170,10,40.3,42.9,47.4,0.475,0.489,0.526,7.157,47.666,40.9,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Karon Prunty,2026.0,DB,CB,DB,Wake Forest,171.0,5.0,,171,21,40.0,42.5,47.3,0.475,0.489,0.527,7.116,47.56,40.4,Depth / developmental projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Max Bredeson,2026.0,TE,TE,TE,Michigan,159.0,5.0,,172,17,39.8,41.3,45.5,0.465,0.425,0.545,3.288,47.217,40.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Demond Claiborne,2026.0,RB,RB,RB,Wake Forest,198.0,6.0,,173,9,39.7,41.0,48.1,0.458,0.413,0.519,4.924,46.697,40.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Sam Hecht,2026.0,C,IOL,IOL,Kansas St.,144.0,5.0,,174,12,39.6,41.9,49.3,0.475,0.49,0.507,12.464,48.738,39.5,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Chandler Rivers,2026.0,CB,CB,DB,Duke,162.0,5.0,,174,22,39.6,41.6,48.6,0.466,0.457,0.514,7.147,47.469,40.2,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jaren Kanak,2026.0,TE,TE,TE,Oklahoma,225.0,7.0,,176,18,39.4,40.9,46.8,0.455,0.424,0.532,3.248,47.137,40.4,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
George Gumbs Jr.,2026.0,DE,EDGE,EDGE,Florida,156.0,5.0,,177,17,38.5,40.5,47.0,0.491,0.476,0.53,8.184,48.179,38.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jack Endries,2026.0,TE,TE,TE,Texas,221.0,7.0,,178,19,38.4,39.7,46.4,0.451,0.41,0.536,3.206,46.636,39.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Seydou Traore,2026.0,TE,TE,TE,Mississippi St.,180.0,5.0,,178,19,38.4,39.9,44.7,0.459,0.416,0.553,3.171,46.659,39.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Joshua Josephs,2026.0,DE,EDGE,EDGE,Tennessee,147.0,5.0,,180,18,38.3,40.6,46.6,0.487,0.491,0.534,8.045,48.022,37.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jeremiah Wright,2026.0,G,IOL,IOL,Auburn,132.0,4.0,,180,13,38.3,40.0,49.5,0.483,0.473,0.505,12.38,48.499,37.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Fernando Carmona,2026.0,G,IOL,IOL,Arkansas,142.0,5.0,,180,13,38.3,40.3,49.1,0.48,0.484,0.509,12.446,48.5,37.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Zakee Wheatley,2026.0,S,S,DB,Penn St.,151.0,5.0,,180,11,38.3,40.2,47.9,0.454,0.45,0.521,6.843,47.197,38.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Micah Morris,2026.0,G,IOL,IOL,Georgia,207.0,6.0,,184,15,37.7,39.7,48.4,0.48,0.48,0.516,12.014,48.438,36.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kevin Coleman Jr.,2026.0,WR,WR,WR,Missouri,177.0,5.0,,185,25,37.5,39.1,44.7,0.455,0.419,0.553,4.952,46.166,38.2,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Dalton Johnson,2026.0,S,S,DB,Arizona,150.0,5.0,,186,12,37.4,39.6,47.2,0.456,0.465,0.528,6.811,47.05,37.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Beau Stephens,2026.0,G,IOL,IOL,Iowa,148.0,5.0,,187,16,37.2,39.0,48.8,0.476,0.472,0.512,12.284,48.324,36.2,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Kendrick Law,2026.0,WR,WR,WR,Kentucky,168.0,5.0,,188,26,37.0,38.9,44.2,0.447,0.43,0.558,4.884,45.898,37.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Bobby Jamison-Travis,2026.0,DL,IDL,IDL,Auburn,186.0,6.0,,189,16,36.6,37.8,47.6,0.474,0.433,0.524,7.383,47.387,36.0,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Hezekiah Masses,2026.0,CB,CB,DB,California,175.0,5.0,,190,23,36.5,38.6,46.7,0.464,0.464,0.533,6.853,46.856,36.0,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Jack Kelly,2026.0,LB,LB,LB,BYU,193.0,6.0,,190,19,36.5,37.7,46.0,0.441,0.4,0.54,7.342,46.151,36.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Anez Cooper,2026.0,G,IOL,IOL,Miami (FL),188.0,6.0,,192,17,36.1,37.9,47.9,0.475,0.47,0.521,12.028,48.078,34.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Charles Demmings,2026.0,CB,CB,DB,Stephen F. Austin,163.0,5.0,,192,24,36.1,38.2,46.7,0.455,0.462,0.533,6.777,46.762,35.5,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Cole Payton,2026.0,QB,QB,QB,North Dakota St.,178.0,5.0,,194,7,35.5,37.1,46.4,0.449,0.433,0.536,6.544,46.388,35.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Cyrus Allen,2026.0,WR,WR,WR,Cincinnati,176.0,5.0,,194,27,35.5,37.4,43.6,0.439,0.421,0.564,4.716,45.255,35.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Jackie Marshall,2026.0,DE,EDGE,EDGE,Baylor,184.0,6.0,,196,19,35.4,36.6,47.9,0.455,0.427,0.521,7.8,46.995,34.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Trey Smack,2026.0,K,ST,ST,Florida,216.0,6.0,,197,3,35.2,37.2,50.0,0.524,0.539,0.5,7.349,51.055,31.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Logan Taylor,2026.0,G,IOL,IOL,Boston Col.,202.0,6.0,,198,18,34.5,36.2,47.6,0.48,0.47,0.524,11.961,47.811,32.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Michael Taaffe,2026.0,S,S,DB,Texas,158.0,5.0,,199,13,34.4,36.2,46.7,0.454,0.449,0.533,6.698,46.408,33.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Namdi Obiazor,2026.0,LB,LB,LB,TCU,212.0,6.0,,200,20,34.3,35.3,45.0,0.438,0.391,0.55,7.228,45.623,34.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Brian Parker II,2026.0,OT,OT,OT,Duke,189.0,6.0,,201,17,33.4,34.7,45.9,0.458,0.43,0.541,10.136,46.733,31.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Gabriel Rubio,2026.0,DL,IDL,IDL,Notre Dame,210.0,6.0,,202,17,33.3,34.3,46.5,0.465,0.422,0.535,7.068,46.622,31.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
DJ Campbell,2026.0,G,IOL,IOL,Texas,200.0,6.0,,203,19,33.2,35.1,47.7,0.47,0.475,0.523,11.868,47.679,30.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
J.C. Davis,2026.0,OT,OT,OT,Illinois,192.0,6.0,,204,18,33.1,34.4,45.9,0.458,0.429,0.541,10.119,46.683,31.5,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Dallen Bentley,2026.0,TE,TE,TE,Utah,256.0,7.0,,205,21,32.6,33.7,44.2,0.439,0.397,0.558,3.0,45.542,31.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Kaytron Allen,2026.0,RB,RB,RB,Penn St.,187.0,6.0,,205,10,32.6,33.9,44.5,0.439,0.4,0.555,4.515,44.937,31.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Josh Cameron,2026.0,WR,WR,WR,Baylor,191.0,6.0,,207,28,32.5,34.3,42.2,0.422,0.411,0.578,4.545,44.445,32.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Barion Brown,2026.0,WR,WR,WR,LSU,190.0,6.0,,207,28,32.5,34.1,42.4,0.428,0.403,0.576,4.536,44.374,32.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
CJ Daniels,2026.0,WR,WR,WR,Miami (FL),197.0,6.0,,209,30,32.2,34.0,42.0,0.419,0.407,0.58,4.535,44.246,31.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Robert Spears-Jennings,2026.0,S,S,DB,Oklahoma,224.0,7.0,,210,14,32.1,33.7,44.6,0.458,0.439,0.554,6.64,46.018,30.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
CJ Williams,2026.0,WR,WR,WR,Stanford,203.0,6.0,,210,31,32.1,33.9,41.7,0.419,0.409,0.583,4.465,44.235,31.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Harold Perkins Jr.,2026.0,LB,LB,LB,LSU,215.0,6.0,,212,21,32.0,33.3,44.1,0.434,0.404,0.559,7.069,45.043,31.0,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Anterio Thompson,2026.0,DT,IDL,IDL,Washington,208.0,6.0,,213,18,31.7,32.6,46.1,0.462,0.413,0.539,6.953,46.219,29.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Malik Benson,2026.0,WR,WR,WR,Oregon,195.0,6.0,,214,32,31.4,33.2,41.8,0.421,0.41,0.582,4.486,44.095,30.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Jordan van den Berg,2026.0,DL,IDL,IDL,Georgia Tech,213.0,6.0,,214,19,31.4,32.3,45.9,0.464,0.412,0.541,6.945,46.119,29.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Deven Eastern,2026.0,DT,IDL,IDL,Minnesota,242.0,7.0,,216,20,31.2,32.1,46.4,0.457,0.414,0.536,6.865,45.973,29.0,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Dametrious Crownover,2026.0,OT,OT,OT,Texas A&M,196.0,6.0,,217,19,31.0,31.8,47.0,0.446,0.406,0.53,9.991,46.309,28.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
VJ Payne,2026.0,S,S,DB,Kansas St.,228.0,7.0,,218,15,30.8,32.6,44.7,0.45,0.445,0.553,6.499,45.8,28.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Pat Coogan,2026.0,C,IOL,IOL,Indiana,194.0,6.0,,219,20,30.6,32.4,47.1,0.465,0.475,0.529,11.682,47.355,27.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Brandon Cleveland,2026.0,DT,IDL,IDL,North Carolina St.,229.0,7.0,,220,21,30.5,31.6,44.9,0.463,0.425,0.551,6.812,45.739,28.0,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Skyler Gill-Howard,2026.0,DT,IDL,IDL,Texas Tech,205.0,6.0,,221,22,30.3,30.9,45.7,0.462,0.399,0.543,6.826,45.727,27.9,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Tim Keenan III,2026.0,DT,IDL,IDL,Alabama,232.0,7.0,,222,23,30.1,31.1,45.5,0.461,0.414,0.545,6.842,45.667,27.6,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Emmanuel Henderson Jr.,2026.0,WR,WR,WR,Kansas,199.0,6.0,,223,33,30.0,31.7,41.6,0.419,0.407,0.584,4.43,43.897,28.7,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Karson Sharar,2026.0,LB,LB,LB,Iowa,183.0,6.0,,224,22,29.9,31.0,43.9,0.433,0.398,0.561,6.844,44.605,28.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Cole Wisniewski,2026.0,S,S,DB,Texas Tech,244.0,7.0,,224,16,29.9,31.8,43.9,0.452,0.456,0.561,6.456,45.679,27.2,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Ethan Onianwa,2026.0,G,IOL,IOL,Ohio St.,231.0,7.0,,226,21,29.6,31.3,46.4,0.462,0.47,0.536,11.579,47.252,26.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; PFF-powered model projection
Lewis Bond,2026.0,WR,WR,WR,Boston Col.,204.0,6.0,,227,34,29.5,31.2,41.3,0.415,0.407,0.587,4.375,43.777,28.1,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Seth McGowan,2026.0,RB,RB,RB,Kentucky,237.0,7.0,,228,11,29.4,29.8,43.4,0.43,0.36,0.566,4.351,44.272,27.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Andre Fuller,2026.0,CB,CB,DB,Toledo,236.0,7.0,,229,25,29.2,31.1,43.7,0.454,0.455,0.563,6.433,45.511,26.3,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
Miles Scott,2026.0,S,S,DB,Illinois,246.0,7.0,,230,17,28.9,30.7,43.7,0.453,0.454,0.563,6.456,45.44,25.8,Low-probability projection,later projected draft slot; meaningful elite ceiling; elevated bust risk; PFF-powered model projection
